timestamp,robot_id,move_x,move_y,move_w,actuation_kick_strength,actuation_front,actuation_chip,actuation_charge,actuation_dribbler,actuation_dribbler_velocity
3525.956193024,8,-0.7033282949064692,0.048613687816439516,6.9975095637505955,0.0,False,False,False,False,0.0
3525.964682496,0,0.731568696419578,-0.09238362798055054,7.270920494665919,6.5,False,True,False,False,0.0
3525.967358208,3,-0.6052428615547101,-0.796040877428456,-7.068576879275107,0.0,False,False,False,False,0.0
3525.968862976,6,0.49270697057522544,0.3025282931720571,6.928650937741079,0.0,False,False,False,False,0.0
3525.97968256,5,0.4390377258720587,0.5508901354074046,7.05771750299771,0.0,False,False,False,False,0.0
3525.982854656,6,0.40998614302048575,-0.4076606560418409,6.910247441853808,0.0,False,False,False,False,0.0
3525.982890752,8,-0.7471338371842224,0.22853355527878488,6.8665632076395,0.0,False,False,False,False,0.0
3525.982992896,4,0.6031564267019467,-0.17348695746291048,7.167405598236883,0.0,False,False,False,False,0.0
3525.98387456,3,-0.6247307323441085,-0.7808402602740165,-7.161587327272694,0.0,False,False,False,False,0.0
3525.995718656,0,0.7416011256199246,-0.08661779532897206,7.260692463514695,6.5,False,True,False,False,0.0
3525.99955456,6,0.4106125783503015,-0.40564084781281134,6.897552816903139,0.0,False,False,False,False,0.0
3526.003883264,1,0.5534035483337978,-0.18223573106729488,7.275370990071229,0.0,False,False,False,False,0.0
3526.01076096,5,0.4428760149436788,0.6081576833122455,7.064997004236758,0.0,False,False,False,False,0.0
3526.01530112,4,0.7344021382989666,-0.1819350984186961,7.182558253821193,0.0,False,False,False,False,0.0
3526.01990912,0,0.6878237014152828,-0.09633312659167174,7.260875094960789,6.5,False,True,False,False,0.0
3526.020069632,5,0.38046547437887257,0.5283546289151941,7.066397139464213,0.0,False,False,False,False,0.0
3526.023199744,3,-0.00527332121509399,0.5215102519269716,-7.325067269494801,0.0,False,False,False,False,0.0
3526.024470272,6,0.4037365446590358,-0.4196425139011345,6.890453228487597,0.0,False,False,False,False,0.0
3526.031565312,1,0.5356761800185733,-0.2167632484323285,7.298906723807124,0.0,False,False,False,False,0.0
3526.044183552,5,0.42534029231656806,0.5483784192370554,7.078511276981836,0.0,False,False,False,False,0.0
3526.04445056,6,-0.07576866259918721,-0.06042361675184924,6.905247509403856,0.0,False,False,False,False,0.0
3526.049910784,4,0.6596174593740942,-0.21227203005748174,7.192024046460347,0.0,False,False,False,False,0.0
3526.050331904,0,0.7551547347417534,-0.13318493948229634,7.262173779996605,6.5,False,True,False,False,0.0
3526.051750144,3,0.020283494699146074,0.5788620966635024,-7.350293733613691,0.0,False,False,False,False,0.0
3526.064776704,1,0.5761346329369473,0.05586945166922103,7.314224691088995,0.0,False,False,False,False,0.0
3526.074282752,3,-0.2842695950560266,-0.4978388503369617,-7.495441909908881,0.0,False,False,False,False,0.0
3526.074309888,6,0.3823561806957788,-0.43246661083145416,6.941388137784206,0.0,False,False,False,False,0.0
3526.074244096,0,0.7503903706575744,-0.10627016893014338,7.261214311218592,6.5,False,True,False,False,0.0
3526.081380608,5,0.4421601795620101,0.5805238377985188,7.120604705873966,0.0,False,False,False,False,0.0
3526.092496896,4,0.6734593930342865,-0.20773582966059484,7.225500402525726,0.0,False,False,False,False,0.0
3526.09291648,6,0.49071736932682875,-0.30560037929927664,7.019779459053987,0.0,False,False,False,False,0.0
3526.101065984,5,0.39126837226520944,0.5464638365717245,7.141888659188283,0.0,False,False,False,False,0.0
3526.104575744,3,0.07769318232710463,0.5733527188466055,7.491122723008921,0.0,False,False,False,False,0.0
3526.104606464,1,0.5506297092205151,-0.17386247551285963,7.320271119409093,0.0,False,False,False,False,0.0
3526.109746688,6,0.5378526258338991,-0.20913972797718527,7.109108251067685,0.0,False,False,False,False,0.0
3526.111668992,5,0.39273335106860013,0.5769167180833727,7.155948442753561,0.0,False,False,False,False,0.0
3526.11629184,8,-0.863930717597897,-0.45770706821836415,6.575266678312138,0.0,False,False,False,False,0.0
3526.123919872,0,0.7507427317006478,-0.10107784270213589,7.294060084901185,6.5,False,True,False,False,0.0
3526.126060544,3,-0.991212456401028,-0.13227950058659912,7.427416370357744,0.0,False,False,False,False,0.0
3526.12851968,1,0.5785906993557418,0.06149109592537585,7.3213849054365,0.0,False,False,False,False,0.0
3526.138393088,8,-0.7696745941289633,-0.4559683610325337,6.581231239151156,0.0,False,False,False,False,0.0
3526.140790272,1,0.48943554309539405,-0.3086765892114633,7.329836072537575,0.0,False,False,False,False,0.0
3526.146276096,3,-0.9879900642632736,-0.15451741946153683,7.410477670074572,0.0,False,False,False,False,0.0
3526.14822528,0,0.741393518383224,-0.07955152299619866,7.330282647702136,6.5,False,True,False,False,0.0
3526.152161024,5,0.37550183023866945,0.5583286680656582,7.215186737633975,0.0,False,False,False,False,0.0
3526.16031616,6,0.43224518064427947,-0.3843448125865393,7.26540330115977,0.0,False,False,False,False,0.0
3526.161112064,4,0.6973455694482135,-0.25028370697748636,7.254304782865325,0.0,False,False,False,False,0.0
3526.168413184,8,-0.7492003159397487,-0.5026672084223945,6.678459774175551,0.0,False,False,False,False,0.0
3526.16880128,1,0.4573023238853692,-0.35690343411048325,7.340211351447863,0.0,False,False,False,False,0.0
3526.181475328,8,-0.7538107118343055,-0.5410075459897423,6.748429718211516,0.0,False,False,False,False,0.0
3526.182588672,0,0.6834010741296833,-0.08245454508379518,7.368733139817395,6.5,False,True,False,False,0.0
3526.191859456,1,0.5056562352090143,-0.286198354709429,7.348132952620451,0.0,False,False,False,False,0.0
3526.198146048,3,-0.9627001560165582,-0.2705705261215535,7.475204996548277,0.0,False,False,False,False,0.0
3526.202606336,8,-0.6843228918451125,-0.5854883418397523,6.850426993445319,0.0,False,False,False,False,0.0
3526.203422464,6,0.47136972099906044,-0.3412727208943233,7.421018368181823,0.0,False,False,False,False,0.0
3526.20637184,0,0.7543597930344852,-0.08974433233940332,7.38338833317821,6.5,False,True,False,False,0.0
3526.218944512,5,0.3656315887169706,0.49382314899068513,7.272796664021454,0.0,False,False,False,False,0.0
3526.223105792,6,0.4706413725175914,-0.3381462951262426,7.480994297257789,0.0,False,False,False,False,0.0
3526.224940288,4,0.5708241982713601,-0.2376518266972968,7.311873606049729,0.0,False,False,False,False,0.0
3526.230968832,8,-0.6655930800827405,-0.6295035011151576,6.99110489063758,0.0,False,False,False,False,0.0
3526.23782272,1,0.5016614477376277,-0.2958582790111966,7.377579722694416,0.0,False,False,False,False,0.0
3526.23882112,5,0.3740399014355603,0.44345135248166084,7.29876981279412,0.0,False,False,False,False,0.0
3526.243344896,0,0.7591043002323292,-0.08819587737706519,7.415350771363602,6.5,False,True,False,False,0.0
3526.248643328,3,-0.9601537295362526,-0.2794723880057288,-7.456785924725488,0.0,False,False,False,False,0.0
3526.250573056,8,-0.7108922696826039,-0.6584766352891998,7.08440095742608,0.0,False,False,False,False,0.0
3526.253371392,5,0.3420204186841285,0.46891641105723286,7.30730387857507,0.0,False,False,False,False,0.0
3526.262053888,4,0.586387553717747,-0.220476847339855,7.344084763363457,0.0,False,False,False,False,0.0
3526.267860224,1,0.4881816715093809,-0.3086767287139916,7.391823152684107,0.0,False,False,False,False,0.0
3526.268574208,6,0.45449247381075586,-0.36138265729677815,-7.539127637384364,0.0,False,False,False,False,0.0
3526.276444416,3,-0.897812058553823,-0.44037882273713713,-7.381922919860923,0.0,False,False,False,False,0.0
3526.283823104,5,0.3584737168109447,0.5295641423709505,7.329266959677808,0.0,False,False,False,False,0.0
3526.285301248,6,0.44837729667184134,-0.3731554385311354,-7.512233668763857,0.0,False,False,False,False,0.0
3526.304009472,5,0.4101356670454574,0.5004093052608389,7.3494005045974165,0.0,False,False,False,False,0.0
3526.30674816,6,0.4577768718325069,-0.35977545159285573,-7.512923555092799,0.0,False,False,False,False,0.0
3526.314414848,8,-0.6957594963550638,-0.7182748243059532,7.499799629173395,0.0,False,False,False,False,0.0
3526.314603776,0,0.74992002310451,-0.06645453059460506,7.45129849182327,6.5,False,True,False,False,0.0
3526.318080768,3,-0.8413435124195052,-0.5405007808593895,-7.222899210186916,0.0,False,False,False,False,0.0
3526.322028544,4,0.7289520315534531,-0.2435192074201402,7.362595965439987,0.0,False,False,False,False,0.0
3526.323202816,1,0.554703555707345,-0.10415633752848888,7.390749293489234,0.0,False,False,False,False,0.0
3526.32799232,6,0.44332236252801344,-0.3745483583294586,-7.5384925502141025,0.0,False,False,False,False,0.0
3526.33837568,1,0.5518012219758932,-0.006709209298191169,7.387174343510147,0.0,False,False,False,False,0.0
3526.339520512,5,0.3810167356592895,0.4739925938760927,7.388173009980696,0.0,False,False,False,False,0.0
3526.343740672,0,0.6368258529734351,-0.06784858202270236,7.456564754096349,6.5,False,True,False,False,0.0
3526.344636416,6,0.43145740599475507,-0.3878690017891355,7.50334144537008,0.0,False,False,False,False,0.0
3526.339747584,3,-0.7879834625944331,-0.615696404632744,-7.158536112882192,0.0,False,False,False,False,0.0
3526.348123136,8,-0.646069583923912,-0.757111816546148,-7.4495080135064535,0.0,False,False,False,False,0.0
3526.35500288,1,0.4947464361232147,-0.3039232360161337,7.385783910505239,0.0,False,False,False,False,0.0
3526.354945024,5,0.4202884161209466,0.5199652789502223,7.401973353174577,0.0,False,False,False,False,0.0
3526.361402368,3,-0.7597818718580225,-0.650178058070187,-7.129390993608886,0.0,False,False,False,False,0.0
3526.369920768,8,-0.5798194545652219,-0.814744990845411,-7.33592428989693,0.0,False,False,False,False,0.0
3526.37076864,0,0.7197284779041851,-0.06633035677360138,7.470229790723804,6.5,False,True,False,False,0.0
3526.37519104,5,0.3789073013978184,0.42470800017400345,7.4180552213740985,0.0,False,False,False,False,0.0
3526.375268096,6,0.3928807209174814,-0.4240916309047336,7.450772138453916,0.0,False,False,False,False,0.0
3526.379588864,1,0.49875403591750644,-0.2973280826223546,7.389956512265493,0.0,False,False,False,False,0.0
3526.384098304,3,-0.47775527871233825,-0.8784929673380977,-7.1155166024630505,0.0,False,False,False,False,0.0
3526.389472512,6,0.38988091107867245,-0.42950922528286867,7.41815510434731,0.0,False,False,False,False,0.0
3526.394008064,5,0.47038456836573767,0.47460392706168125,7.429022969134712,0.0,False,False,False,False,0.0
3526.394029568,5,0.4708654456362465,0.47510891649898135,7.429022969134712,0.0,False,False,False,False,0.0
3526.394447616,1,0.4858167770666393,-0.3139206956647824,7.394425814767229,0.0,False,False,False,False,0.0
3526.394855936,8,-0.5530604817680023,-0.8331411065999235,-7.266652159570178,0.0,False,False,False,False,0.0
3526.396096512,0,0.7097851411264042,-0.08098447658843341,7.425241601300836,6.5,False,True,False,False,0.0
3526.403455744,6,0.3736141041050118,-0.44503293127730303,7.380993551287993,0.0,False,False,False,False,0.0
3526.405666304,3,-0.4444352838937914,-0.8958109613251253,-7.123667248093586,0.0,False,False,False,False,0.0
3526.41058432,4,0.7576976620710124,-0.17809411979344936,7.388248533667692,0.0,False,False,False,False,0.0
3526.412037632,8,-0.5347970649140616,-0.8449805319410054,-7.240282326255871,0.0,False,False,False,False,0.0
3526.416133888,5,0.5250500669382938,0.47306716032469237,7.438222438785766,0.0,False,False,False,False,0.0
