kick_event,timestamp,timestamp_original,id_jogador_chutou,cor_jogador_chutou,id_goleiro,cor_goleiro,gol,ball_position_x,ball_position_y,ball_velocity_norm,ball_acceleration_norm,kicker_position_x,kicker_position_y,kicker_position_w,kicker_velocity_norm,goalkeeper_position_x,goalkeeper_position_y,goalkeeper_velocity_norm,num_blue_on_field,num_yellow_on_field,feat_dist_goal,feat_angle_goal,feat_visible_angle,feat_min_dist_opponent,feat_opponents_in_cone,feat_robot_orientation,feat_orientation_to_goal_diff
kickEvent238,2247.018002944,2247.018002944,3,blue,12,yellow,0,5701.7163,-4118.4517,490.922860092839,99259.1988620591,1806.6736,155.76591,-0.06056394,3541.42465786601,5903.219,-874.9364,34.6907294340613,11,8,4129.23934531756,85.857518989573,1.89349417701333,1044.03736119494,2,-3.47005815268355,89.3275771422565
kickEvent239,2249.37490816,2249.37490816,6,blue,12,yellow,1,3745.6443,210.80557,2411.48896546994,124423.62444799,2815.1213,1300.8512,-0.3645601,999.212752908372,5862.655,65.84025,369.67670664244,11,8,2264.19049783041,-5.34221291969663,43.2304692586735,683.871131414567,1,-20.8877551088672,15.5455421891706
kickEvent240,2302.475769088,2302.475769088,8,blue,12,yellow,0,3323.887,-2923.36,3548.36571312163,104650.682040364,3140.1206,-2818.2568,-0.45540738,712.790807818526,5927.5,-768.8543,284.962943602184,11,8,3963.28329524512,47.5282760955558,17.9181254455769,1027.00449024919,3,-26.0929208331105,73.6211969286663
kickEvent241,2317.5762944,2317.5762944,4,blue,12,yellow,0,1855.4318,-748.03955,5213.36132802216,268127.008480184,1150.2957,-180.01369,-0.008862659,359.161300602121,5817.201,-257.1,480.615035701189,11,8,4211.53282461569,10.2309836450806,23.7844764358213,2191.45389215193,4,-0.507792955963635,10.7387766010442
kickEvent242,2322.632810496,2322.632810496,4,blue,12,yellow,1,3024.155,362.59323,3261.32798852724,180846.083565046,3098.351,411.14212,-2.6498318,211.368156350879,5819.1436,868.89557,395.621307562687,11,8,2997.85378470446,-6.94698713047606,33.2272631381843,1290.35243904561,1,-151.824178559554,144.877191429078
kickEvent243,111.441623296,111.441623296,5,blue,0,yellow,0,-37.384309,10.28365525,156.534555905874,26078.7463270944,-200.042245,-11.68816075,0.087344335,1525.30308189159,5594.1836,-31.27137,57.3810589876954,11,9,6037.39306722071,-0.0975935013916464,16.9573767337066,839.466572475759,7,5.0044617598768,-5.10205526126845
kickEvent244,260.660928768,260.660928768,9,yellow,10,blue,0,-445.855375,-3185.8487,1507.72129750968,95760.5947187295,-419.274,-3276.7559,1.912932,2771.65584236262,-5821.6323,-192.46553,50.8606537984175,11,10,6402.98012293558,150.161484844601,13.9696988326253,1790.34254114421,5,109.60293009552,40.5585547490819
kickEvent245,286.933227264,286.933227264,3,yellow,10,blue,0,-2870.6794,-2433.321,3663.02140885853,242606.342559182,-1645.2123,-1795.7476,-2.7596405,1954.09400948024,-5840.0483,-404.44907,407.921541254254,10,10,3964.05076993539,142.131805061829,20.7038305803749,486.922367482589,3,-158.115753623372,-59.7524413147983
kickEvent246,417.892078848,417.892078848,7,yellow,10,blue,0,-1976.0055,3644.2583,359.828231521206,21505.6892788381,-1818.3275,3626.5864,-2.3716867,1170.32129303027,-5829.406,294.8806,15.7281642526856,10,10,5428.91796706758,-137.835003390048,14.1817719893324,111.925470519002,3,-135.88763823731,-1.94736515273852
kickEvent247,622.087686912,622.087686912,12,blue,0,yellow,0,4607.2114,-587.10284,3325.4156816678,58150.8859719985,4262.4697,-2285.0151,1.1248422,492.630294641201,5777.117,293.58087,1400.06303810956,10,9,1511.47273512493,22.8569057429852,59.5372993593163,847.262139531079,1,64.4487106782104,-41.5918049352252
